2025-07-13 06:47:19,975 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 06:47:20,412 serial_wrap.py, line 353, ERROR:get_anwser timeout 
2025-07-13 06:47:20,432 serial_wrap.py, line 296, INFO:is mc602
2025-07-13 06:47:20,433 serial_wrap.py, line 297, INFO:load program
2025-07-13 06:47:22,247 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 06:47:22,297 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 13:31:47,459 serial_wrap.py, line 78, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-07-13 13:31:47,460 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:31:49,468 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:31:51,471 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:31:53,473 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:31:53,484 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:31:53,484 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:31:55,487 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:31:57,489 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:31:59,492 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:32:00,505 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:32:00,505 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:32:02,508 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:32:04,510 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:32:06,513 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:32:06,514 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:32:06,514 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:32:08,516 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:32:10,519 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:32:12,522 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:32:12,523 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:32:12,523 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:32:14,526 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:32:16,529 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:32:18,532 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:32:18,540 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
